position,title,authors,last week position,peak position,weeks on chart,chart_date
1,Ella Baila Sola,Eslabon Armado X Peso Pluma,1,1,9,2023-05-27
2,Cupid,Fifty Fifty,3,2,10,2023-05-27
3,La Bebe,Yng Lvcas x Peso Pluma,4,3,12,2023-05-27
4,Un x100to,Grupo Frontera X Bad Bunny,2,1,5,2023-05-27
5,Flowers,Miley Cyrus,5,1,18,2023-05-27
6,Calm Down,Rema & Selena Gomez,6,3,46,2023-05-27
7,All My Life,Lil Durk Featuring J. Cole,0,7,1,2023-05-27
8,Die For You,The Weeknd & Ariana Grande,8,2,63,2023-05-27
9,Idol,YOASOBI,10,9,5,2023-05-27
10,Last Night,Morgan Wallen,9,5,16,2023-05-27
11,Kill Bill,SZA,7,1,23,2023-05-27
12,Daylight,David Kushner,11,11,5,2023-05-27
13,Acrostico,Shakira,0,13,1,2023-05-27
14,As It Was,Harry Styles,13,1,59,2023-05-27
15,Tattoo,Loreen,0,15,1,2023-05-27
16,TQG,Karol G x Shakira,12,1,12,2023-05-27
17,Anti-Hero,Taylor Swift,15,1,30,2023-05-27
18,Classy 101,Feid x Young Miko,17,17,7,2023-05-27
19,Creepin',"Metro Boomin, The Weeknd & 21 Savage",18,3,24,2023-05-27
20,People,Libianca,22,20,18,2023-05-27
21,I'm Good (Blue),David Guetta & Bebe Rexha,21,2,38,2023-05-27
22,Por Las Noches,Peso Pluma,16,14,12,2023-05-27
23,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice,20,3,15,2023-05-27
24,Until I Found You,Stephen Sanchez,24,11,53,2023-05-27
25,PRC,Peso Pluma X Natanael Cano,19,15,16,2023-05-27
26,El Azul,Junior H x Peso Pluma,27,23,10,2023-05-27
27,Cha Cha Cha,Kaarija,0,27,1,2023-05-27
28,Golden Hour,JVKE,30,13,38,2023-05-27
29,I Ain't Worried,OneRepublic,34,5,50,2023-05-27
30,Fast Car,Luke Combs,28,28,8,2023-05-27
31,Beso,Rosalia & Rauw Alejandro,25,10,8,2023-05-27
32,Eyes Closed,Ed Sheeran,14,14,8,2023-05-27
33,Yandel 150,Yandel & Feid,29,13,19,2023-05-27
34,Save Your Tears,The Weeknd & Ariana Grande,33,1,124,2023-05-27
35,Unholy,Sam Smith & Kim Petras,31,1,34,2023-05-27
36,Unforgiven,LE SSERAFIM Featuring Nile Rodgers,23,23,3,2023-05-27
37,See You Again,"Tyler, The Creator Featuring Kali Uchis",35,35,5,2023-05-27
38,AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano",26,20,19,2023-05-27
39,Like Crazy,Jimin,37,2,8,2023-05-27
40,Another Love,Tom Odell,39,14,107,2023-05-27
41,Fragil,Yahritza y Su Esencia x Grupo Frontera,52,41,5,2023-05-27
42,Search & Rescue,Drake,36,2,6,2023-05-27
43,Flower,Jisoo,32,2,7,2023-05-27
44,Sure Thing,Miguel,43,13,22,2023-05-27
45,Chemical,Post Malone,38,16,5,2023-05-27
46,Miracle,Calvin Harris & Ellie Goulding,49,46,10,2023-05-27
47,Favorite Song,Toosii,40,40,13,2023-05-27
48,Blinding Lights,The Weeknd,47,2,141,2023-05-27
49,Cruel Summer,Taylor Swift,55,49,9,2023-05-27
50,I Am,IVE,41,21,6,2023-05-27
51,Escapism,RAYE Featuring 070 Shake,42,7,25,2023-05-27
52,Perfect,Ed Sheeran,51,30,141,2023-05-27
53,Something In The Orange,Zach Bryan,53,23,55,2023-05-27
54,Players,Coi Leray,45,17,19,2023-05-27
55,"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,50,2,19,2023-05-27
56,Creep,Radiohead,80,56,2,2023-05-27
57,Baby Don't Hurt Me,"David Guetta, Anne-Marie & Coi Leray",62,57,6,2023-05-27
58,Queen Of Kings,Alessandra,0,58,1,2023-05-27
59,Snooze,SZA,48,27,23,2023-05-27
60,Chanel,Becky G & Peso Pluma,46,46,6,2023-05-27
61,Area Codes,Kali,149,61,2,2023-05-27
62,The Planet,BTS,0,62,1,2023-05-27
63,Heat Waves,Glass Animals,61,1,124,2023-05-27
64,La Bachata,Manuel Turizo,56,6,45,2023-05-27
65,Starboy,The Weeknd Featuring Daft Punk,57,34,98,2023-05-27
66,Levitating,Dua Lipa,66,2,137,2023-05-27
67,Under The Influence,Chris Brown,65,3,43,2023-05-27
68,Shivers,Ed Sheeran,68,3,88,2023-05-27
69,OMG,NewJeans,59,10,20,2023-05-27
70,Spicy,aespa,160,70,2,2023-05-27
71,Cuff It,Beyonce,87,12,42,2023-05-27
72,Stay,The Kid LAROI & Justin Bieber,71,1,97,2023-05-27
73,Mockingbird,Eminem,75,42,31,2023-05-27
74,Moonlight,Kali Uchis,78,74,9,2023-05-27
75,Thinkin' Bout Me,Morgan Wallen,67,21,11,2023-05-27
76,Cold Heart (PNAU Remix),Elton John & Dua Lipa,76,3,92,2023-05-27
77,El Gordo Trae El Mando,Chino Pacas,44,44,14,2023-05-27
78,Mathematical Disrespect,Lil Mabu,0,78,1,2023-05-27
79,Que Vuelvas,Carin Leon X Grupo Frontera,60,34,21,2023-05-27
80,Blank Space,Taylor Swift,82,80,40,2023-05-27
81,Bebe Dame,Fuerza Regida X Grupo Frontera,64,17,20,2023-05-27
82,You Proof,Morgan Wallen,74,22,53,2023-05-27
83,Someone You Loved,Lewis Capaldi,79,24,141,2023-05-27
84,Hey Mor,Ozuna Featuring Feid,77,27,31,2023-05-27
85,Me Porto Bonito,Bad Bunny & Chencho Corleone,70,2,54,2023-05-27
86,Rock And A Hard Place,Bailey Zimmerman,102,59,47,2023-05-27
87,Angels Like You,Miley Cyrus,96,87,4,2023-05-27
88,Super,SEVENTEEN,54,37,4,2023-05-27
89,Viva La Vida,Coldplay,101,89,39,2023-05-27
90,Princess Diana,Ice Spice & Nicki Minaj,58,11,5,2023-05-27
91,Believer,Imagine Dragons,91,52,141,2023-05-27
92,Yellow,Coldplay,122,68,110,2023-05-27
93,Sweater Weather,The Neighbourhood,90,25,138,2023-05-27
94,Money Trees,Kendrick Lamar Featuring Jay Rock,105,94,7,2023-05-27
95,Life Goes On,Ed Sheeran Featuring Luke Combs,0,95,1,2023-05-27
96,Ojitos Lindos,Bad Bunny & Bomba Estereo,89,4,54,2023-05-27
97,Ch y La Pizza,Fuerza Regida X Natanael Cano,69,39,15,2023-05-27
98,Shape Of You,Ed Sheeran,83,55,141,2023-05-27
99,Coco Chanel,Eladio Carrion & Bad Bunny,84,22,9,2023-05-27
100,Titi Me Pregunto,Bad Bunny,81,4,54,2023-05-27
101,Here With Me,d4vd,86,34,27,2023-05-27
102,Karma,Taylor Swift,97,10,11,2023-05-27
103,Lavender Haze,Taylor Swift,92,2,30,2023-05-27
104,I Wanna Be Yours,Arctic Monkeys,99,71,37,2023-05-27
105,Bad Habits,Ed Sheeran,103,1,99,2023-05-27
106,Bones,Imagine Dragons,93,32,62,2023-05-27
107,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,109,41,141,2023-05-27
108,"Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,85,1,45,2023-05-27
109,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown",88,8,24,2023-05-27
110,Take On Me,a-ha,95,95,81,2023-05-27
111,Unstoppable,Sia,100,79,66,2023-05-27
112,Cardigan,Taylor Swift,130,77,15,2023-05-27
113,Summertime Sadness,Lana Del Rey vs. Cedric Gervais,107,89,41,2023-05-27
114,Double Fantasy,The Weeknd Featuring Future,63,12,4,2023-05-27
115,Style,Taylor Swift,119,115,9,2023-05-27
116,Wish You The Best,Lewis Capaldi,140,87,5,2023-05-27
117,Un Finde   Crossover #2,Ke personajes X Big One X FMK,98,84,6,2023-05-27
118,Fin de Semana,Junior H X Oscar Maydon,148,58,18,2023-05-27
119,Dog Days Are Over,Florence + The Machine,187,119,2,2023-05-27
120,Trance,"Metro Boomin, Travis Scott & Young Thug",104,42,14,2023-05-27
121,Snap,Rosa Linn,123,18,45,2023-05-27
122,El Merengue,Marshmello & Manuel Turizo,113,103,10,2023-05-27
123,No Role Modelz,J. Cole,133,97,97,2023-05-27
124,Las Morras,Peso Pluma & Blessd,111,97,4,2023-05-27
125,Set Fire To The Rain,Adele,124,64,21,2023-05-27
126,Shake It Off,Taylor Swift,115,115,9,2023-05-27
127,Enchanted,Taylor Swift,112,55,7,2023-05-27
128,Just Wanna Rock,Lil Uzi Vert,108,26,31,2023-05-27
129,Rich Flex,Drake & 21 Savage,110,1,28,2023-05-27
130,Bad Habit,Steve Lacy,117,8,45,2023-05-27
131,M.A (Mejores Amigos),BM,126,81,6,2023-05-27
132,Mientras Me Curo del Cora,Karol G,106,40,12,2023-05-27
133,Lovely,Billie Eilish & Khalid,135,70,141,2023-05-27
134,Easy On Me,Adele,127,1,84,2023-05-27
135,Slut Me Out,NLE Choppa,94,48,7,2023-05-27
136,Nina Bonita,Feid & Sean Paul,146,136,4,2023-05-27
137,10:35,Tiesto Featuring Tate McRae,114,38,25,2023-05-27
138,Shut Up My Moms Calling,Hotel Ugly,132,64,24,2023-05-27
139,Made You Look,Meghan Trainor,116,6,30,2023-05-27
140,Nosso Quadro,Ana Castela,145,95,12,2023-05-27
141,Everybody Wants To Rule The World,Tears For Fears,158,108,42,2023-05-27
142,Feliz Cumpleanos Ferxxo,Feid,120,61,37,2023-05-27
143,Take Me To Church,Hozier,138,115,112,2023-05-27
144,Chorrito Pa Las Animas,Feid,131,82,19,2023-05-27
145,Riptide,Vance Joy,137,100,88,2023-05-27
146,Without Me,Eminem,144,39,84,2023-05-27
147,Ceilings,Lizzy McAlpine,129,29,13,2023-05-27
148,Sunroof,Nicky Youre & dazy,136,26,52,2023-05-27
149,Wasted On You,Morgan Wallen,139,19,64,2023-05-27
150,La Jumpa,Arcangel & Bad Bunny,128,14,24,2023-05-27
151,Ditto,NewJeans,121,8,22,2023-05-27
152,Watermelon Sugar,Harry Styles,156,9,137,2023-05-27
153,Too Many Nights,Metro Boomin Featuring Don Toliver & Future,142,23,14,2023-05-27
154,Counting Stars,OneRepublic,151,96,112,2023-05-27
155,Circles,Post Malone,150,49,137,2023-05-27
156,Jimmy Cooks,Drake Featuring 21 Savage,154,3,48,2023-05-27
157,Queencard,(G)I-DLE,0,157,1,2023-05-27
158,Mejor Que Yo,"Anuel AA, Mambo Kingz & DJ Luian",72,72,2,2023-05-27
159,Shallow,Lady Gaga & Bradley Cooper,152,59,138,2023-05-27
160,Provenza,Karol G,143,6,56,2023-05-27
161,Don't Blame Me,Taylor Swift,168,124,18,2023-05-27
162,Something Just Like This,The Chainsmokers & Coldplay,181,102,110,2023-05-27
163,Thunder,Imagine Dragons,162,162,50,2023-05-27
164,Igualito A Mi Apa,Fuerza Regida & Peso Pluma,134,118,5,2023-05-27
165,Dandelions,Ruth B.,164,51,70,2023-05-27
166,Lover,Taylor Swift,175,166,8,2023-05-27
167,Gangsta's Paradise,Coolio Featuring L.V.,166,21,96,2023-05-27
168,Hotel California,Eagles,188,132,109,2023-05-27
169,Never Felt So Alone,Labrinth,118,50,6,2023-05-27
170,Every Breath You Take,The Police,172,107,45,2023-05-27
171,Wait For U,Future Featuring Drake & Tems,165,2,55,2023-05-27
172,X Si Volvemos,Karol G x Romeo Santos,153,18,15,2023-05-27
173,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,163,135,27,2023-05-27
174,Sweet Child O' Mine,Guns N' Roses,176,57,105,2023-05-27
175,Dreams,Fleetwood Mac,183,10,115,2023-05-27
176,When I Was Your Man,Bruno Mars,180,74,34,2023-05-27
177,Rush,Ayra Starr,173,115,17,2023-05-27
178,Don't Stop Believin',Journey,174,125,102,2023-05-27
179,No Se Va,Grupo Frontera,147,31,34,2023-05-27
180,Shorty Party,Cartel de Santa Featuring La Kelly,141,25,11,2023-05-27
181,Nonsense,Sabrina Carpenter,196,36,18,2023-05-27
182,One Thing At A Time,Morgan Wallen,157,24,13,2023-05-27
183,In Da Club,50 Cent,178,44,57,2023-05-27
184,Normal,Feid,171,75,30,2023-05-27
185,Cupido,TINI,167,69,13,2023-05-27
186,Ghost,Justin Bieber,177,16,82,2023-05-27
187,Smells Like Teen Spirit,Nirvana,184,92,115,2023-05-27
188,Abcdario,Eden Munoz X Junior H,0,188,1,2023-05-27
189,Lose Yourself,Eminem,193,25,57,2023-05-27
190,A Sky Full Of Stars,Coldplay,0,190,1,2023-05-27
191,Happier Than Ever,Billie Eilish,0,6,90,2023-05-27
192,Utsukushii Hire,Spitz,0,192,1,2023-05-27
193,Dance Monkey,Tones And I,186,16,135,2023-05-27
194,Despecha,Rosalia,169,6,42,2023-05-27
195,Enemy,Imagine Dragons X JID,191,3,81,2023-05-27
196,Thought You Should Know,Morgan Wallen,182,32,20,2023-05-27
197,Wake Me Up!,Avicii,200,154,43,2023-05-27
198,Kitsch,IVE,170,59,7,2023-05-27
199,Somewhere Only We Know,Keane,0,186,4,2023-05-27
200,Moscow Mule,Bad Bunny,192,2,51,2023-05-27
